":@computed_region_43wa_7qmu",":@computed_region_6mkv_f3dw",":@computed_region_awaf_s7ux",":@computed_region_bdys_3d7i",":@computed_region_d3ds_rm58",":@computed_region_d9mm_jgwp",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k","arrest","beat","block","case_number","community_area","date","description","district","domestic","fbi_code","id","iucr","latitude","location","location_address","location_city","location_description","location_state","location_zip","longitude","primary_type","updated_on","ward","x_coordinate","y_coordinate","year"
,,,,,,,,"false","0611","016XX W 79TH ST","JB249038","71","2018-05-03T22:50:00.000","DOMESTIC BATTERY SIMPLE","006","true","08B","11307023","0486",,,,,"SIDEWALK",,,,"BATTERY","2018-05-10T15:48:24.000","17",,,"2018"
"9","21194","12","330","94","22","40","34","false","0131","021XX S STATE ST","JB249062","33","2018-05-03T22:50:00.000","$500 AND UNDER","001","false","06","11304183","0820","41.853849332","POINT (-87.627105121 41.853849332)",,,"STREET",,,"-87.627105121","THEFT","2018-05-10T15:48:24.000","3","1176651","1890124","2018"
"43","21861","30","237","260","10","19","45","false","0513","004XX E 110TH PL","JB249044","49","2018-05-03T22:45:00.000","SIMPLE","005","false","08B","11304128","0460","41.693221893","POINT (-87.611886916 41.693221893)",,,"RESIDENCE",,,"-87.611886916","BATTERY","2018-05-10T15:48:24.000","9","1181288","1831627","2018"
"36","14309","22","92","88","22","42","38","false","0111","002XX N CLARK ST","JB249045","32","2018-05-03T22:44:00.000","SIMPLE","001","false","08B","11304154","0460","41.887059444","POINT (-87.631006896 41.887059444)",,,"STREET",,,"-87.631006896","BATTERY","2018-05-10T15:48:24.000","42","1175489","1902217","2018"
"34","21190","51","798","149","14","16","68","true","1812","022XX N LINCOLN AVE","JB249020","7","2018-05-03T22:42:00.000","ILLEGAL CONSUMPTION BY MINOR","018","false","22","11304129","2230","41.92276991","POINT (-87.645019576 41.92276991)",,,"BAR OR TAVERN",,,"-87.645019576","LIQUOR LAW VIOLATION","2018-05-10T15:48:24.000","43","1171569","1915199","2018"
"26","14920","48","96","150","15","43","29","false","1233","012XX W WASHBURNE AVE","JB249039","28","2018-05-03T22:40:00.000","DOMESTIC BATTERY SIMPLE","012","true","08B","11304153","0486","41.866133164","POINT (-87.65729479 41.866133164)",,,"SIDEWALK",,,"-87.65729479","BATTERY","2018-05-10T15:48:24.000","2","1168391","1894534","2018"
"47","21202","47","526","249","19","25","48","false","0431","095XX S COMMERCIAL AVE","JB249028","51","2018-05-03T22:35:00.000","ARMED: OTHER DANGEROUS WEAPON","004","false","03","11304174","0313","41.722308987","POINT (-87.551073137 41.722308987)",,,"ALLEY",,,"-87.551073137","ROBBERY","2018-05-10T15:48:24.000","10","1197801","1842371","2018"
"9","4301","12","163","102","24","36","4","false","0213","039XX S INDIANA AVE","JB249151","38","2018-05-03T22:30:00.000","AGGRAVATED: HANDGUN","002","false","04A","11304250","051A","41.823334783","POINT (-87.621592419 41.823334783)",,,"CTA PLATFORM",,,"-87.621592419","ASSAULT","2018-05-10T15:48:24.000","3","1178245","1879017","2018"
"49","22535","10","389","171","7","1","24","false","1421","017XX N KEDZIE AVE","JB249117","23","2018-05-03T22:30:00.000","$500 AND UNDER","014","false","06","11305137","0820","41.912904271","POINT (-87.706826256 41.912904271)",,,"STREET",,,"-87.706826256","THEFT","2018-05-10T15:48:24.000","26","1154775","1911475","2018"
"26","14920","8","343","121","15","43","33","false","1234","017XX S ASHLAND AVE","JB249122","31","2018-05-03T22:30:00.000","$500 AND UNDER","012","false","06","11304208","0820","41.858427046","POINT (-87.666167646 41.858427046)",,,"APARTMENT",,,"-87.666167646","THEFT","2018-05-10T15:48:24.000","25","1165996","1891707","2018"
"33","21546","32","121","217","18","61","67","false","0324","010XX E 73RD ST","JB249239","69","2018-05-03T22:30:00.000","OTHER VEHICLE OFFENSE","003","true","26","11304341","5002","41.762303939","POINT (-87.598805314 41.762303939)",,,"STREET",,,"-87.598805314","OTHER OFFENSE","2018-05-10T15:48:24.000","5","1184646","1856830","2018"
"48","21194","8","249","158","15","40","33","true","1235","017XX S UNION AVE","JB249031","31","2018-05-03T22:30:00.000","DOMESTIC BATTERY SIMPLE","012","true","08B","11304138","0486","41.858671609","POINT (-87.644833717 41.858671609)",,,"RESIDENCE",,,"-87.644833717","BATTERY","2018-05-10T15:48:24.000","25","1171807","1891842","2018"
"36","4446","22","670","73","14","55","37","false","1831","004XX N CLARK ST","JB249852","8","2018-05-03T22:30:00.000","FROM BUILDING","018","false","06","11304960","0890","41.889751946","POINT (-87.631072891 41.889751946)",,,"BAR OR TAVERN",,,"-87.631072891","THEFT","2018-05-10T15:48:24.000","42","1175463","1903198","2018"
"13","21554","18","1","236","20","59","40","true","0622","001XX W 87TH ST","JB249023","44","2018-05-03T22:28:00.000","TO VEHICLE","006","false","14","11304170","1320","41.736259984","POINT (-87.628068782 41.736259984)",,,"PARKING LOT/GARAGE(NON.RESID.)",,,"-87.628068782","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","21","1176740","1847273","2018"
"8","22248","35","606","105","13","56","53","false","0815","047XX W 51ST ST","JB249033","56","2018-05-03T22:27:00.000","SIMPLE","008","false","08A","11304180","0560","41.800337764","POINT (-87.742079721 41.800337764)",,,"RESIDENCE",,,"-87.742079721","ASSAULT","2018-05-10T15:48:24.000","23","1145462","1870388","2018"
"17","22618","27","303","177","6","21","19","false","2514","031XX N LOCKWOOD AVE","JB249015","19","2018-05-03T22:05:00.000","TO VEHICLE","025","false","14","11304164","1320","41.93815834","POINT (-87.759108299 41.93815834)",,,"PARKING LOT/GARAGE(NON.RESID.)",,,"-87.759108299","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","30","1140483","1920578","2018"
"45","4299","4","578","69","25","5","26","true","1531","048XX W RICE ST","JB249004","25","2018-05-03T22:01:00.000","SIMPLE","015","true","08B","11304137","0460","41.895942945","POINT (-87.746991055 41.895942945)",,,"RESIDENCE",,,"-87.746991055","BATTERY","2018-05-10T15:48:24.000","37","1143885","1905217","2018"
"39","21186","38","83","12","5","53","57","false","1923","010XX W GRACE ST","JB250212","6","2018-05-03T22:00:00.000","TO VEHICLE","019","false","14","11305905","1320","41.951114503","POINT (-87.655092516 41.951114503)",,,"STREET",,,"-87.655092516","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","44","1168746","1925506","2018"
"4","22260","53","426","273","18","60","9","false","0314","061XX S KIMBARK AVE","JB249046","42","2018-05-03T22:00:00.000","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","003","true","04B","11304131","0496","41.783298944","POINT (-87.594708522 41.783298944)",,,"APARTMENT",,,"-87.594708522","BATTERY","2018-05-10T15:48:24.000","20","1185698","1864490","2018"
"24","4451","46","538","55","2","14","76","false","2012","016XX W HOLLYWOOD AVE","JB249629","77","2018-05-03T22:00:00.000","OVER $500","020","false","06","11304596","0810","41.985087883","POINT (-87.671574145 41.985087883)",,,"STREET",,,"-87.671574145","THEFT","2018-05-10T15:48:24.000","40","1164167","1937851","2018"
"36","14914","22","92","79","22","46","38","false","0122","002XX W LAKE ST","JB249463","32","2018-05-03T22:00:00.000","FROM BUILDING","001","false","06","11304482","0890","41.885728907","POINT (-87.63422381 41.885728907)",,,"RESTAURANT",,,"-87.63422381","THEFT","2018-05-10T15:48:24.000","42","1174617","1901725","2018"
